#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:rand_dat_1" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:rand_dat_1" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:rand_dat_1" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:rand_dat_1" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:rand_dat_1">
#                    <trait id="dateTrait.t:rand_dat_1" spec="beast.evolution.tree.TraitSet" traitname="date-backward">
#                         t26_9.24=2.71,
#t27_8.62=2.11,
#t10_6.91=0.22,
#t20_6.74=2.09,
#t8_5.3=0.88,
#t34_4.77=0.12,
#t19_0=2.71,
#t24_4.04=0.39,
#t15_3.42=5.3,
#t21_3.34=0.68,
#t23_3.31=0.68,
#t44_3.28=0.15,
#t1_3.28=0.14,
#t4_3.01=4.04,
#t50_2.71=2.09,
#t49_2.71=0.77,
#t28_2.11=3.34,
#t30_2.11=2.11,
#t48_2.09=1.81,
#t37_2.09=6.74,
#t39_2=1.07,
#t13_1.81=0.04,
#t42_1.81=6.91,
#t45_1.71=1.71,
#t35_1.71=9.24,
#t46_1.41=0.32,
#t40_1.41=1.41,
#t31_1.07=2,
#t38_1.07=8.62,
#t17_0.88=4.77,
#t32_0.88=0,
#t9_0.77=0.22,
#t3_0.77=3.28,
#t12_0.68=1.07,
#t7_0.68=0.77,
#t11_0.68=0.88,
#t14_0.39=0.04,
#t29_0.39=0.39,
#t2_0.32=1.81,
#t5_0.32=3.01,
#t16_0.22=0.15,
#t41_0.22=1.41,
#t36_0.15=0.14,
#t33_0.15=0.12,
#t47_0.14=3.42,
#t25_0.14=3.31,
#t22_0.12=3.28,
#t6_0.12=0.32,
#t43_0.04=0.68,
#t18_0.04=1.71    
#                         <taxa id="TaxonSet.rand_dat_1" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.rand_dat_1"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="PopSizePrior.t:rand_dat_1" name="distribution" x="@popSize.t:rand_dat_1">
#            <OneOnX id="OneOnX.0" name="distr"/>
#        </prior>
#        <prior id="MeanRatePrior.c:rand_dat_1" name="distribution">
#            <parameter id="ucldMean.c:rand_dat_1" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:rand_dat_1" name="distribution">
#            <parameter id="ucldStdev.c:rand_dat_1" lower="0.0" name="x" upper="5.0">0.5</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">0.3333</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@rand_dat_1" id="treeLikelihood.rand_dat_1" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:rand_dat_1">
#            <siteModel id="SiteModel.s:rand_dat_1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:rand_dat_1" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:rand_dat_1" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:rand_dat_1" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:rand_dat_1" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:rand_dat_1" id="RelaxedClock.c:rand_dat_1" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:rand_dat_1">
#                <LogNormal S="@ucldStdev.c:rand_dat_1" id="LogNormalDistributionModel.c:rand_dat_1" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.01" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="98" id="rateCategories.c:rand_dat_1" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldMean	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	popSize	CoalescentConstant	
0	-74737.06155754335	-74606.13914400099	-130.92241354235856	-74606.13914400099	10.448734536319144	1.0	0.5	1.2313410063490293	0.273265450271931	0.523823194389397	0.3	-131.72494862535143	
1000	-55479.10945721851	-55257.75853794039	-221.35091927811948	-55257.75853794039	11.892053084590005	0.3442640535532673	0.9041401455244954	0.23606220841288222	0.08968297320103401	1.0743410938582143	4.186895499555419	-218.30498033762845	
2000	-50038.37259435578	-49841.47118183919	-196.9014125165897	-49841.47118183919	23.011074153447314	0.331902539815115	1.2646661553739613	0.17888414548680365	0.1578798713206417	1.5692161929393849	16.281713654116466	-191.41570429000168	
3000	-47093.93910415728	-46899.473691443025	-194.46541271425727	-46899.473691443025	13.699203608408453	0.331902539815115	1.2084758963590172	0.15618149968140152	0.14310410963519649	1.5031708729571986	19.65172848229517	-188.96016944189955	
4000	-45191.96337794513	-44996.87460906064	-195.0887688844983	-44996.87460906064	14.844149056236375	0.331902539815115	1.244628668783655	0.1748975181383672	0.14088581696983093	1.5847807042961157	16.86924785514474	-189.62772943506587	
5000	-43274.99152005008	-43076.54717270436	-198.44434734571917	-43076.54717270436	14.56445773909327	0.331902539815115	1.3629070020819523	0.1765672120588502	0.17884839021376023	1.7652832881794809	13.8193954785355	-192.82785664527532	
6000	-41805.24463859031	-41610.11983160202	-195.1248069882864	-41610.11983160202	14.404717845922475	0.331902539815115	1.3629070020819523	0.15038441727436647	0.1786649029924192	1.7779390656103118	18.786462399404407	-189.20125283740504	
7000	-40553.12799653456	-40358.004284231676	-195.12371230288676	-40358.004284231676	16.54319444623281	0.3344802668840172	1.4117280708291893	0.15637825229691615	0.19505009395403816	1.8189922455858527	18.00662071973742	-189.09607731525932	
8000	-40289.68292171368	-40093.69180342343	-195.9911182902419	-40093.69180342343	16.179618351272733	0.33379086929804436	1.4117280708291893	0.14571426583271332	0.19531418832610503	1.8345435566868264	17.60994327752537	-189.98575910918026	
9000	-40187.528924823615	-39991.5034699123	-196.02545491131585	-39991.5034699123	16.050804972860018	0.33379086929804436	1.4117280708291893	0.14402467141293804	0.2067154823377579	1.8221884806145214	18.79204622179567	-189.95512572471299	
10000	-40067.442818176714	-39869.91805301245	-197.52476516426492	-39869.91805301245	15.683581228429684	0.33379086929804436	1.4117280708291893	0.14708962567202474	0.2135794196689325	1.85103450719813	15.481222039263404	-191.64824187651786	
11000	-39315.076605291295	-39116.51773321579	-198.55887207550398	-39116.51773321579	15.0712223695796	0.3337859171912782	1.4856995147615737	0.15075335821748265	0.23753158560605123	1.8989782398865012	17.75110662734795	-192.3235922112771	
12000	-38981.0012039602	-38779.421502378034	-201.57970158216963	-38779.421502378034	15.100415911987294	0.32707893882247885	1.4856995147615737	0.14317911173979495	0.1884353844156843	1.8326430101347613	20.987694257364126	-195.17693329890255	
13000	-38699.14238317619	-38496.81559427368	-202.32678890251714	-38496.81559427368	15.476895640608188	0.32707893882247885	1.523214376665405	0.13971998885634282	0.17451514641173665	1.8244846581427694	18.935914313630498	-195.9143407090251	
14000	-38570.81252044808	-38367.858423070924	-202.95409737715937	-38367.858423070924	16.466950042758366	0.32707893882247885	1.523214376665405	0.14737502737485805	0.194594405771578	1.906292817324854	19.657840438193354	-196.50423326759525	
15000	-38484.17625229393	-38279.69460508852	-204.48164720540692	-38279.69460508852	18.083787578530078	0.32707893882247885	1.4975995726284295	0.12799351528893876	0.17651041694699846	1.880251559846106	17.325341868955793	-198.23494117880867	
16000	-38457.34737654726	-38253.677554707756	-203.66982183950358	-38253.677554707756	16.764295027261205	0.329904843888385	1.5085845394746273	0.1271801985819324	0.18289573188295333	1.9271474475249486	23.065701570272207	-197.10398116048307	
17000	-38411.36298651595	-38206.92228853489	-204.44069798105647	-38206.92228853489	16.13214951130675	0.3281973194177926	1.5085845394746273	0.12184956352270618	0.18024725299620123	1.9328750011053542	21.507344422524284	-197.94480955782822	
18000	-38380.611339740455	-38175.67854650058	-204.93279323987275	-38175.67854650058	15.904263943358554	0.3281973194177926	1.5134431342488517	0.119484515320844	0.17952432663125986	1.942922032184241	22.79108688895022	-198.36435251884083	
19000	-38366.30804556922	-38161.41569744454	-204.8923481246778	-38161.41569744454	15.979321020244065	0.3281973194177926	1.5134431342488517	0.11927194543992278	0.18203414540721727	1.9211246132385547	20.8468563395535	-198.41307377545584	
20000	-38345.65705646699	-38139.35766327028	-206.2993931967101	-38139.35766327028	19.247871338991615	0.326293204782059	1.5134431342488517	0.11714477740260539	0.18059668120438935	1.9136744115478832	21.658398188898094	-199.78192872294343	
21000	-37851.57648015729	-37647.05601872354	-204.52046143374668	-37647.05601872354	20.204241457094756	0.3264203173578478	1.5134431342488517	0.11754065396065085	0.1475032440177018	1.8124544116960926	18.63909905950778	-198.1531287719485	
22000	-37807.459852523985	-37601.2969131761	-206.1629393478878	-37601.2969131761	17.130404390721793	0.327996053483158	1.5134431342488517	0.1202758623686897	0.13574198576947502	1.767975567118422	19.88752140245208	-199.73077569062215	
23000	-37548.5445564259	-37339.61852687454	-208.92602955135715	-37339.61852687454	20.36503699011518	0.3277795003685686	1.5785601303900867	0.1134519982178595	0.1339376268654289	1.86636079096044	25.947390751297803	-202.0325167829811	
24000	-36686.16938279559	-36473.86517408204	-212.30420871354823	-36473.86517408204	21.19122845754901	0.3429013531747405	1.5785601303900867	0.09326597572429797	0.18780224307360335	2.09492653997124	19.437196036324114	-205.6995784488312	
25000	-36399.89047316193	-36187.90769291142	-211.98278025050885	-36187.90769291142	18.516556625916056	0.34271169421183134	1.5785601303900867	0.10471685202015449	0.20307343282597137	2.0835898497572987	19.70131928284574	-205.36465293543236	
