#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:rand_dat_2" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:rand_dat_2" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:rand_dat_2" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:rand_dat_2" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:rand_dat_2">
#                    <trait id="dateTrait.t:rand_dat_2" spec="beast.evolution.tree.TraitSet" traitname="date-backward">
#                         t26_9.24=0.04,
#t27_8.62=3.42,
#t10_6.91=0.77,
#t20_6.74=0.39,
#t8_5.3=1.07,
#t34_4.77=2.11,
#t19_0=0.39,
#t24_4.04=0.22,
#t15_3.42=0.15,
#t21_3.34=0.77,
#t23_3.31=5.3,
#t44_3.28=8.62,
#t1_3.28=0.12,
#t4_3.01=0.12,
#t50_2.71=6.74,
#t49_2.71=9.24,
#t28_2.11=2.71,
#t30_2.11=3.28,
#t48_2.09=1.41,
#t37_2.09=1.71,
#t39_2=2.09,
#t13_1.81=0.15,
#t42_1.81=0.68,
#t45_1.71=4.77,
#t35_1.71=0.14,
#t46_1.41=0.32,
#t40_1.41=2.09,
#t31_1.07=1.07,
#t38_1.07=0.04,
#t17_0.88=2,
#t32_0.88=0.32,
#t9_0.77=0.88,
#t3_0.77=0,
#t12_0.68=2.71,
#t7_0.68=6.91,
#t11_0.68=0.14,
#t14_0.39=3.31,
#t29_0.39=3.01,
#t2_0.32=4.04,
#t5_0.32=1.41,
#t16_0.22=0.68,
#t41_0.22=1.81,
#t36_0.15=3.34,
#t33_0.15=0.68,
#t47_0.14=0.22,
#t25_0.14=0.88,
#t22_0.12=2.11,
#t6_0.12=1.71,
#t43_0.04=1.81,
#t18_0.04=3.28    
#                         <taxa id="TaxonSet.rand_dat_2" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.rand_dat_2"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="PopSizePrior.t:rand_dat_2" name="distribution" x="@popSize.t:rand_dat_2">
#            <OneOnX id="OneOnX.0" name="distr"/>
#        </prior>
#        <prior id="MeanRatePrior.c:rand_dat_2" name="distribution">
#            <parameter id="ucldMean.c:rand_dat_2" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:rand_dat_2" name="distribution">
#            <parameter id="ucldStdev.c:rand_dat_2" lower="0.0" name="x" upper="5.0">0.5</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">0.3333</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@rand_dat_2" id="treeLikelihood.rand_dat_2" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:rand_dat_2">
#            <siteModel id="SiteModel.s:rand_dat_2" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:rand_dat_2" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:rand_dat_2" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:rand_dat_2" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:rand_dat_2" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:rand_dat_2" id="RelaxedClock.c:rand_dat_2" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:rand_dat_2">
#                <LogNormal S="@ucldStdev.c:rand_dat_2" id="LogNormalDistributionModel.c:rand_dat_2" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.01" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="98" id="rateCategories.c:rand_dat_2" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldMean	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	popSize	CoalescentConstant	
0	-72460.04479658452	-72380.14182408684	-79.90297249768194	-72380.14182408684	9.359636591833612	1.0	0.5	1.2245196376357506	0.273265450271931	0.523823194389397	0.3	-80.70550758067483	
1000	-55203.35385841811	-55046.692073954706	-156.66178446340135	-55046.692073954706	12.742473928698361	0.9013767427147183	1.0116989261905887	0.4908654115503014	0.5017834989510547	0.9869639085789216	2.5122167886643827	-153.80393089236404	
2000	-48885.9054349256	-48730.0444810414	-155.86095388419784	-48730.0444810414	11.797097140050031	0.8232267111748962	1.2497564256711804	0.3914771994614062	0.5713927476865222	1.317579588443245	7.642328834164008	-151.17631955847307	
3000	-46255.02836391268	-46092.1817497173	-162.84661419537815	-46092.1817497173	12.095737092799553	0.6907263697546464	1.2544441396618609	0.31893865067011995	0.3191468939427644	1.2968985654549612	9.015051110760997	-157.98272217301857	
4000	-44729.769624125904	-44556.09161874422	-173.678005381683	-44556.09161874422	13.203663145614584	0.6748801959316155	1.2811705420073372	0.3043706156405412	0.29118642961672275	1.2769980481213932	6.706147798852565	-169.0297969721336	
5000	-43666.69486818911	-43494.90667450731	-171.78819368179998	-43494.90667450731	12.736206581557177	0.6249479763204616	1.3420518183730152	0.25876711329437396	0.3074682917518275	1.3726670384343027	9.522576199641941	-166.606682443137	
6000	-43388.43114011299	-43220.33784002881	-168.09330008417672	-43220.33784002881	13.802642887443207	0.6249479763204616	1.3420518183730152	0.2746436230296636	0.3105884980874783	1.3440523375621767	9.633786870854959	-162.90017788155342	
7000	-42539.58471097056	-42370.592131538804	-168.99257943175408	-42370.592131538804	13.045014304586237	0.6249479763204616	1.4282323881205758	0.2638918203372936	0.37848617652210126	1.5196090775335898	9.729520100947667	-163.53100147509966	
8000	-42370.25372029259	-42198.457332380276	-171.79638791231173	-42198.457332380276	16.775741906548753	0.557294436195005	1.4282323881205758	0.23435586816770979	0.3824226088035281	1.6436952673531289	9.805148755302556	-166.32706689814552	
9000	-40728.28878144893	-40557.39817351205	-170.89060793688176	-40557.39817351205	18.35517645740147	0.5665676978316859	1.4282323881205758	0.21116159041551308	0.2950750729293834	1.5113569057910756	9.705966655832237	-165.43145373806175	
10000	-40065.064345396735	-39894.86523765993	-170.19910773680928	-39894.86523765993	20.497621881591876	0.557760163823133	1.4355192646808532	0.2015849334514138	0.26963339459272645	1.5455332694424377	10.46809985363399	-164.64249901402252	
11000	-39539.07231274115	-39367.421259516275	-171.65105322487233	-39367.421259516275	21.613355226586425	0.5580461498470399	1.447509670996003	0.21133406519909093	0.2653742974416154	1.6299316601325144	10.75951278778278	-166.03101193545922	
12000	-39153.38633189069	-38980.23832885505	-173.14800303564323	-38980.23832885505	23.98090132677957	0.556982583865322	1.447509670996003	0.20700970385351308	0.23523617119333687	1.5277815042362393	8.586433399989064	-167.75356857394405	
13000	-38825.929833680544	-38651.253632114436	-174.6762015661073	-38651.253632114436	22.99462373252493	0.556982583865322	1.4969527776710252	0.2110801286843688	0.23945607047748627	1.5552623648971484	11.367774133226458	-168.8528238740654	
14000	-38342.4720092094	-38162.38534186485	-180.08666734454658	-38162.38534186485	33.016989531757936	0.556982583865322	1.539189426603191	0.15123048931307237	0.19326826655036902	1.5880068329247317	10.266731262302892	-174.2384408623228	
15000	-38139.889441753665	-37961.417435469026	-178.47200628463793	-37961.417435469026	33.36272850854231	0.556982583865322	1.539189426603191	0.14830389769459668	0.23152263542013685	1.6586772437361825	12.620138041001303	-172.4173947001626	
16000	-38086.60324575394	-37909.49887492809	-177.10437082584775	-37909.49887492809	26.188359319892104	0.556982583865322	1.539189426603191	0.15678133928511134	0.22911636436619381	1.66251730732012	12.11711679712089	-171.09043397238335	
17000	-37483.28659361965	-37306.673753383824	-176.6128402358263	-37306.673753383824	28.072993296526427	0.556982583865322	1.539189426603191	0.14573117970804658	0.23345400587424403	1.6794321958889056	11.957149448357292	-170.61219306700033	
18000	-37200.771379939375	-37022.554647493715	-178.2167324456577	-37022.554647493715	32.73171224678511	0.5534241250371806	1.5562495833481036	0.13655731424693981	0.17286576748733926	1.5368972206317215	15.235070095519507	-171.92262905433455	
19000	-37168.0810806342	-36989.33858811594	-178.74249251825378	-36989.33858811594	33.02661943125718	0.5641255312062174	1.5562495833481036	0.13719582931160115	0.17526001337857028	1.5675226654405685	9.323689782354739	-172.93943069056647	
20000	-37165.697190864266	-36987.042548262194	-178.6546426020753	-36987.042548262194	29.735103469073067	0.5574057186876044	1.5562495833481036	0.14504863019783726	0.17099001460527813	1.5679436669282742	9.480041943869937	-172.8349504834163	
