"V1"	"V2"	"V3"
"SET1/REP_1"	"0.082"	"0.018"
"SET1/REP_10"	"0.075"	"0.009"
"SET1/REP_2"	"0.0815"	"0.017"
"SET1/REP_3"	"0.108"	"0.016"
"SET1/REP_4"	"0.099"	"0.011"
"SET1/REP_5"	"0.0865"	"0.016"
"SET1/REP_6"	"0.07"	"0.008"
"SET1/REP_7"	"0.079"	"0.019"
"SET1/REP_8"	"0.0745"	"0.011"
"SET1/REP_9"	"0.0765"	"0.009"
"SET10/REP_1"	"0.533"	"0.118"
"SET10/REP_10"	"0.5565"	"0.183"
"SET10/REP_2"	"0.6745"	"0.191"
"SET10/REP_3"	"0.607"	"0.137"
"SET10/REP_4"	"0.6145"	"0.188"
"SET10/REP_5"	"0.5965"	"0.205"
"SET10/REP_6"	"0.4265"	"0.06"
"SET10/REP_7"	"0.6095"	"0.138"
"SET10/REP_8"	"0.5745"	"0.104"
"SET10/REP_9"	"0.6085"	"0.13"
"SET11/REP_1"	"0.698"	"0.19"
"SET11/REP_10"	"0.6"	"0.084"
"SET11/REP_2"	"0.6775"	"0.127"
"SET11/REP_3"	"0.6045"	"0.171"
"SET11/REP_4"	"0.701"	"0.138"
"SET11/REP_5"	"0.715"	"0.181"
"SET11/REP_6"	"0.707"	"0.183"
"SET11/REP_7"	"0.5485"	"0.105"
"SET11/REP_8"	"0.742"	"0.175"
"SET11/REP_9"	"0.694"	"0.184"
"SET12/REP_1"	"0.636"	"0.154"
"SET12/REP_10"	"0.6505"	"0.158"
"SET12/REP_2"	"0.656"	"0.179"
"SET12/REP_3"	"0.6615"	"0.167"
"SET12/REP_4"	"0.599"	"0.125"
"SET12/REP_5"	"0.672"	"0.193"
"SET12/REP_6"	"0.517"	"0.098"
"SET12/REP_7"	"0.644"	"0.167"
"SET12/REP_8"	"0.567"	"0.156"
"SET12/REP_9"	"0.6125"	"0.116"
"SET13/REP_1"	"0.567"	"0.198"
"SET13/REP_10"	"0.65"	"0.143"
"SET13/REP_2"	"0.555"	"0.195"
"SET13/REP_3"	"0.551"	"0.185"
"SET13/REP_4"	"0.6445"	"0.184"
"SET13/REP_5"	"0.688"	"0.129"
"SET13/REP_6"	"0.4915"	"0.119"
"SET13/REP_7"	"0.6485"	"0.19"
"SET13/REP_8"	"0.56"	"0.12"
"SET13/REP_9"	"0.5445"	"0.133"
"SET14/REP_1"	"0.6495"	"0.172"
"SET14/REP_10"	"0.708"	"0.177"
"SET14/REP_2"	"0.632"	"0.119"
"SET14/REP_3"	"0.681"	"0.176"
